estado;cidade;bairro;rua;cep;numero;latitude;longitude
Sao Paulo;Sao Paulo;Vila Medeiros;Ana Ferrara    ;2209150;268;-23.4857663;-46.5816901
Sao Paulo;Sao Paulo;Vila Medeiros;Armando Paim    ;2216060;270;-23.494486;-46.5797305
Sao Paulo;Sao Paulo;Vila Medeiros;Joaquim de Souza Pacheco Filho ;2217020;177;-23.4896048;-46.5811344
Sao Paulo;Sao Paulo;Jardim Brasil (Zona Norte);Carlos Cardin    ;2221140;151;-23.4856877;-46.5785867
Sao Paulo;Sao Paulo;Jardim Brasil (Zona Norte);Major Roberto dos Santos  ;2224010;111;-23.484107;-46.575712
Sao Paulo;Sao Paulo;Jardim Brasil (Zona Norte);Erotides de Campos   ;2227310;69;-23.4814418;-46.5716156
Sao Paulo;Sao Paulo;Parada Inglesa;Cruz de Malta   ;2248001;175;-23.4856596;-46.5996827
Sao Paulo;Sao Paulo;Jardim Brasil (Zona Norte);Halesia     ;2280105;208;-23.4554385;-46.5759692
Sao Paulo;Sao Paulo;Parque Casa de Pedra;Triplice Alianca    ;2320160;151;-23.447571;-46.5944838
Sao Paulo;Sao Paulo;Parque Ramos Freitas;Salvador Alvares    ;2354240;238;-23.4547088;-46.6063055
Sao Paulo;Sao Paulo;Tremembe;Jose Correa Gomes   ;2357100;35;-23.4472085;-46.6121924
Sao Paulo;Sao Paulo;Jardim Fontalis;H     ;2360281;228;-23.8045047;-46.7649928
Sao Paulo;Sao Paulo;Vila Albertina;Bias     ;2371020;214;-23.4591923;-46.6174451
Sao Paulo;Sao Paulo;Vila Albertina;Luiz Janucci    ;2375170;273;-23.4486098;-46.6228408
Sao Paulo;Sao Paulo;Agua Fria;Antonio Zunkeller Leite   ;2408000;206;-23.4835584;-46.6272019
Sao Paulo;Sao Paulo;Jardim Paraiso;Francisco Queirolo    ;2417122;21;-23.4783855;-46.629952
Sao Paulo;Sao Paulo;Parque Mandaqui;Eduardo Zumkeller    ;2420030;67;-23.4755639;-46.6357363
Sao Paulo;Sao Paulo;Lauzane Paulista;Diogo Grasson Tinoco   ;2435010;192;-23.4799073;-46.6389057
Sao Paulo;Sao Paulo;Lauzane Paulista;Sion     ;2441070;194;-23.4743954;-46.6414732
Sao Paulo;Sao Paulo;Imirim;Padre Rosano Stofella   ;2467103;175;-23.4905409;-46.6480835
Sao Paulo;Sao Paulo;Vila Romero;Pedro Romero    ;2468075;220;-23.4876843;-46.6477278
Sao Paulo;Sao Paulo;Imirim;Aida Gomes Toledo   ;2472050;246;-23.4756927;-46.6581515
Sao Paulo;Sao Paulo;Casa Verde;Arpui     ;2514050;220;-23.507384;-46.6539288
Sao Paulo;Sao Paulo;Casa Verde;Padre Antonio D'Angelo   ;2516040;184;-23.5093404;-46.6607743
Sao Paulo;Sao Paulo;Casa Verde Alta;Isabela Leonarda    ;2545120;64;-23.4841773;-46.6660594
Sao Paulo;Sao Paulo;Limao;do Limao    ;2551110;98;-23.5042282;-46.6709961
Sao Paulo;Sao Paulo;Jardim Peri Novo;Luiz Macario de Castro  ;2672010;144;-23.4646316;-46.66627
Sao Paulo;Sao Paulo;Vila Bancaria Munhoz;Icatuacu     ;2757100;270;-23.4851495;-46.6853461
Sao Paulo;Sao Paulo;Vila Acre;Andre Martins    ;2759040;300;-23.483361;-46.6801107
Sao Paulo;Sao Paulo;Vila Hebe;Dirceu da Conceicao Pinto  ;2765080;244;-23.4764343;-46.6719661
Sao Paulo;Sao Paulo;Itaberaba;Joaquim Vagliengo    ;2831040;54;-23.4694787;-46.6941874
Sao Paulo;Sao Paulo;Parque Sao Luis;Crespo de Carvalho   ;2832210;151;-23.4826988;-46.6933417
Sao Paulo;Sao Paulo;Jardim Ondina;Cristovao Santiago    ;2871040;19;-23.4610043;-46.6741496
Sao Paulo;Sao Paulo;Conjunto Promorar Estrada da Parada;Salvador     ;2873011;206;-23.7374379;-46.5926223
Sao Paulo;Sao Paulo;Jardim Centenario;Mario de Sa Carneiro  ;2882140;138;-23.4695119;-46.6685412
Sao Paulo;Sao Paulo;Vila Barreto;Jose Rovira    ;2916010;272;-23.4901193;-46.7173721
Sao Paulo;Sao Paulo;Vila Pereira Cerca;Enrico Carafa    ;2932010;243;-23.4949046;-46.7096497
Sao Paulo;Sao Paulo;Vila Yara;Sao Urbano    ;2966000;110;-23.4706896;-46.710475
Sao Paulo;Sao Paulo;Vila Miriam;Nova Era    ;2968010;207;-23.4851073;-46.7107884
Sao Paulo;Sao Paulo;Jardim Donaria;Erasmus Lapicida    ;2990325;224;-23.5505199;-46.6333094
Sao Paulo;Sao Paulo;Jardim Bandeirantes (Zona Norte);Joao Aires    ;2994060;157;-23.4557721;-46.7374498
Sao Paulo;Sao Paulo;Estancia Jaragua;Nunes Chagas    ;2997001;277;-23.4326058;-46.710501
Sao Paulo;Sao Paulo;Parque da Mooca;Vitoantonio Del Vecchio   ;3124070;164;-23.5725819;-46.591036
Sao Paulo;Sao Paulo;Quinta da Paineira;Santa Cruz das Palmeiras  ;3152030;299;-23.5898669;-46.58486
Sao Paulo;Sao Paulo;Mooca;Almirante Brasil    ;3164120;181;-23.5509696;-46.6070667
Sao Paulo;Sao Paulo;Mooca;Rua da Mooca   ;3165901;71;-23.5607026;-46.5853743
Sao Paulo;Sao Paulo;Mooca;Rua Marcial    ;3169901;146;-23.5527868;-46.5968176
Sao Paulo;Sao Paulo;Vila Oratorio;Clemente Bonifacio    ;3192010;212;-23.5707979;-46.5799975
Sao Paulo;Sao Paulo;Jardim Independencia;Susana     ;3223000;199;-23.588557;-46.5622947
Sao Paulo;Sao Paulo;Vila Industrial;Juvena     ;3251090;285;-23.6081068;-46.5365939
Sao Paulo;Sao Paulo;Vila Sao Nicolau;Tres Lagoas    ;3254210;116;-23.6122748;-46.5323063
Sao Paulo;Sao Paulo;Vila Divina Pastora;Santo Antonio do Ica  ;3265140;153;-23.5954347;-46.540118
Sao Paulo;Sao Paulo;Vila Tolstoi;Itapororoca     ;3268070;204;-23.5984312;-46.5270742
Sao Paulo;Sao Paulo;Parque Luis Mucciolo;Nicolino Guilherme Candido   ;3272040;86;-23.6020967;-46.5167413
Sao Paulo;Sao Paulo;Vila Santa Clara;Visconde de Goiana   ;3273120;42;-23.5817133;-46.5624841
Sao Paulo;Sao Paulo;Vila Gomes Cardim;Dona Candida    ;3324080;110;-23.5505079;-46.5683323
Sao Paulo;Sao Paulo;Vila Formosa;Trumain     ;3366000;105;-23.565567;-46.5361889
Sao Paulo;Sao Paulo;Chacara Belenzinho;Basilio Viana Junior   ;3382040;195;-23.58098;-46.5349653
Sao Paulo;Sao Paulo;Parque Santo Antonio;Lazaro Goncalves Fraga   ;3385060;110;-23.5829691;-46.5265175
Sao Paulo;Sao Paulo;Chacara Santo Antonio (Zona Leste);Waldemar Gardenghi    ;3408029;169;-23.5505199;-46.6333094
Sao Paulo;Sao Paulo;Vila Carrao;Monte Mor    ;3427010;91;-23.5508019;-46.5352466
Sao Paulo;Sao Paulo;Vila Fernandes;Taubate     ;3433000;66;-23.5565869;-46.5335951
Sao Paulo;Sao Paulo;Vila Carrao;Odete Gomes Barreto   ;3441010;207;-23.5451832;-46.5398786
Sao Paulo;Sao Paulo;Parque Maria Luiza;Mariano Cursino de Moura  ;3451000;37;-23.5593592;-46.5171491
Sao Paulo;Sao Paulo;Vila Aricanduva;Martim Damy    ;3505020;119;-23.5333334;-46.5357537
Sao Paulo;Sao Paulo;Vila Matilde;Adauto de Assis   ;3516060;209;-23.5424946;-46.5262907
Sao Paulo;Sao Paulo;Vila Guilhermina;Lions Clube de Vila Matilde ;3541005;222;-23.5355595;-46.5271817
Sao Paulo;Sao Paulo;Cidade Patriarca;Caico     ;3551060;187;-23.5338872;-46.5046072
Sao Paulo;Sao Paulo;Parque Savoy City;Helena Ricceli Luchetti   ;3570310;250;-23.5673351;-46.4866044
Sao Paulo;Sao Paulo;Jardim Santa Terezinha (Zona Leste);Macaoca     ;3572170;267;-23.5766867;-46.4991056
Sao Paulo;Sao Paulo;Jardim Santa Maria;Arrabalde da Ponte   ;3574060;266;-23.5578501;-46.512461
Sao Paulo;Sao Paulo;Jardim Marilia;Francisco de Almada   ;3579280;23;-23.5617329;-46.493895
Sao Paulo;Sao Paulo;Jardim Fernandes;Domingos Jose Pelegi   ;3581190;143;-23.5568142;-46.4982787
Sao Paulo;Sao Paulo;Jardim Brasilia (Zona Leste);Ararandeua     ;3583100;195;-23.5574027;-46.4937088
Sao Paulo;Sao Paulo;Vila Sao Geraldo;Tuape     ;3607040;154;-23.5197597;-46.5454916
Sao Paulo;Sao Paulo;Vila Beatriz;Arthur Botelho    ;3644003;82;-23.5207834;-46.4829449
Sao Paulo;Sao Paulo;Vila Esperanca;Cecilia     ;3651040;288;-23.5303518;-46.5219781
Sao Paulo;Sao Paulo;Jardim Nordeste;Santa Quiteria    ;3688130;170;-23.5286633;-46.4847295
Sao Paulo;Sao Paulo;Jardim Coimbra;Frederick Hoffmann    ;3693040;169;-23.5298002;-46.478554
Sao Paulo;Sao Paulo;Cangaiba;Cangaiba     ;3711007;290;-23.5067366;-46.5326421
Sao Paulo;Sao Paulo;Cangaiba;Luciano Antonio Rodrigues   ;3712040;57;-23.506669;-46.5306837
Sao Paulo;Sao Paulo;Jardim Piratininga;Domingos Belmonte    ;3716100;66;-23.5052493;-46.5322194
Sao Paulo;Sao Paulo;Engenheiro Goulart;Cesario Pereto    ;3721036;89;-23.5042904;-46.5250438
Sao Paulo;Sao Paulo;Vila Paranagua;Porcino dos Santos   ;3807160;48;-23.4984631;-46.4680987
Sao Paulo;Sao Paulo;Vila Santa Ines;Ida     ;3813390;237;-23.5678887;-46.6183907
Sao Paulo;Sao Paulo;Jardim Caguassu;Antonio Alves Vilares da Silva ;3906080;88;-23.5816522;-46.50951
Sao Paulo;Sao Paulo;Jardim Novo Carrao;Nello Selmi Dei   ;3908010;62;-23.5815677;-46.5096913
Sao Paulo;Sao Paulo;Jardim Novo Carrao;Major-Brigadeiro Mario Castello Branco  ;3908020;143;-23.5815524;-46.5083431
Sao Paulo;Sao Paulo;Jardim Imperador (Zona Leste);Pecanha     ;3934075;26;-23.5908001;-46.5023082
Sao Paulo;Sao Paulo;Jardim Paraguacu;Anibal     ;3938171;251;-23.5982019;-46.4999644
Sao Paulo;Sao Paulo;Jardim Sao Gabriel;Ibiracatu     ;3940070;96;-23.5919286;-46.4979362
Sao Paulo;Sao Paulo;Conjunto Habitacional Marechal Mascarenhas de Mora;Soldado Teonilo de Souza  ;3977170;93;-23.6190644;-46.4969041
Sao Paulo;Sao Paulo;Jardim Planalto;Pacamum     ;3983110;173;-23.608415;-46.5086226
Sao Paulo;Sao Paulo;Vila Alzira;Tiburcio de Freitas   ;3986050;265;-23.6113159;-46.5229816
Sao Paulo;Sao Paulo;Vila Portuguesa;do Malvarisco    ;3987100;163;-23.6044942;-46.512182
Sao Paulo;Sao Paulo;Vila Mariana;Rua Pelotas    ;4012902;164;-23.5819499;-46.6454285
Sao Paulo;Sao Paulo;Vila Mariana;Coronel Lisboa    ;4020041;293;-23.5950039;-46.6397006
Sao Paulo;Sao Paulo;Vila Clementino;Doutor Ubirajara Martins de Souza ;4023020;125;-23.5505199;-46.6333094
Sao Paulo;Sao Paulo;Ibirapuera;Crestuma     ;4030060;44;-23.5505199;-46.6333094
Sao Paulo;Sao Paulo;Vila Clementino;Santa Generosa    ;4042010;244;-23.6031217;-46.6506017
Sao Paulo;Sao Paulo;Mirandopolis;Ibate     ;4052040;93;-23.6096129;-46.6388527
Sao Paulo;Sao Paulo;Planalto Paulista;Irere     ;4064004;214;-23.624697;-46.6469769
Sao Paulo;Sao Paulo;Indianopolis;Alameda dos Anapurus   ;4087907;15;-23.6078741;-46.6588267
Sao Paulo;Sao Paulo;Vila Santo Estefano;Elisa Silveira    ;4152000;140;-23.6223343;-46.6265867
Sao Paulo;Sao Paulo;Vila Moraes;Peter Lely    ;4164130;273;-23.6257861;-46.6086599
Sao Paulo;Sao Paulo;Jardim Maria Estela;Araci     ;4181120;212;-23.538558;-46.5566301
Sao Paulo;Sao Paulo;Jardim Santa Cruz (Sacoma);Rua Gois Raposo   ;4182900;124;-23.6321146;-46.5970945
Sao Paulo;Sao Paulo;Parque Bristol;Frederico Bartholdi    ;4193000;107;-23.6470991;-46.608584
Sao Paulo;Sao Paulo;Ipiranga;General Lecor    ;4213020;164;-23.5913512;-46.6000301
Sao Paulo;Sao Paulo;Cidade Nova Heliopolis;Sao Vicente de Paula  ;4236060;193;-23.6157889;-46.5922654
Sao Paulo;Sao Paulo;Cidade Nova Heliopolis;Sao Paulo    ;4236080;93;-23.8458527;-46.7390858
Sao Paulo;Sao Paulo;Cidade Nova Heliopolis;Cristo Redentor    ;4236260;209;-23.6100667;-46.5925425
Sao Paulo;Sao Paulo;Vila Moinho Velho;Anatole France    ;4283050;174;-23.6079546;-46.6050172
Sao Paulo;Sao Paulo;Vila Brasilio Machado;Capao da Serra   ;4289090;284;-23.6086661;-46.6160528
Sao Paulo;Sao Paulo;Saude;Nhumirim     ;4294040;52;-23.6185789;-46.6084579
Sao Paulo;Sao Paulo;Cidade Vargas;Leucina     ;4318100;57;-23.6450751;-46.6338498
Sao Paulo;Sao Paulo;Vila Fachini;Luiz Carlos Kakiuthi   ;4327055;23;-23.6650911;-46.6341492
Sao Paulo;Sao Paulo;Vila Fachini;Hildebrando Siqueira    ;4334150;147;-23.660013;-46.6407603
Sao Paulo;Sao Paulo;Americanopolis;Luis Vicente de Simoni  ;4339020;157;-23.6677708;-46.6420338
Sao Paulo;Sao Paulo;Americanopolis;Francisco Semini    ;4339130;62;-23.6664108;-46.6419988
Sao Paulo;Sao Paulo;Vila Mascote;Santa Catarina    ;4378000;144;-23.6418719;-46.666501
Sao Paulo;Sao Paulo;Jardim Jabaquara;Tomasina     ;4384120;64;-23.6602835;-46.6634815
Sao Paulo;Sao Paulo;Americanopolis;Rio Grande do Sul  ;4412070;139;-23.6733251;-46.6455838
Sao Paulo;Sao Paulo;Jardim Miriam;Salvador Faria de Albernaz  ;4417070;209;-23.6830395;-46.6359416
Sao Paulo;Sao Paulo;Jardim Selma;Wilson Marinho dos Santos  ;4431091;149;-23.5505199;-46.6333094
Sao Paulo;Sao Paulo;Jardim Itapura;Vinte e Sete   ;4433150;20;-23.6853086;-46.6585172
Sao Paulo;Sao Paulo;Jardim Consorcio;Francisco Ramos    ;4437060;191;-23.6709314;-46.6759083
Sao Paulo;Sao Paulo;Vila Campo Grande;Januario da Rocha Franca  ;4455340;93;-23.6829935;-46.6766335
Sao Paulo;Sao Paulo;Vila Campo Grande;Casa de Emaus   ;4455410;103;-23.6833712;-46.6747024
Sao Paulo;Sao Paulo;Pedreira;Santa Ursula    ;4459320;157;-23.6970698;-46.6721984
Sao Paulo;Sao Paulo;Jardim da Pedreira;Conego Antonio Pinto   ;4468000;294;-23.6925144;-46.6650492
Sao Paulo;Sao Paulo;Itaim Bibi;Rua Pedroso Alvarenga   ;4531907;67;-23.5805585;-46.674269
Sao Paulo;Sao Paulo;Itaim Bibi;Rua Pedroso Alvarenga   ;4531929;29;-23.5808109;-46.6743521
Sao Paulo;Sao Paulo;Itaim Bibi;Tabapua     ;4533013;271;-23.583785;-46.6780192
Sao Paulo;Sao Paulo;Itaim Bibi;Brigadeiro Faria Lima   ;4538132;120;-23.5856015;-46.6830016
Sao Paulo;Sao Paulo;Cidade Moncoes;Filadelfia     ;4564050;130;-23.6115939;-46.6875067
Sao Paulo;Sao Paulo;Cidade Moncoes;California     ;4566060;292;-23.6098576;-46.6824448
Sao Paulo;Sao Paulo;Jardim Petropolis;Engenheiro Dacio Morais Junior  ;4640010;10;-23.5505199;-46.6333094
Sao Paulo;Sao Paulo;Vila Sao Paulo;Maria Jose Rangel   ;4650180;192;-23.6559406;-46.6708623
Sao Paulo;Sao Paulo;Parque Residencial Julia;Antonio Masi    ;4671330;24;-23.6613153;-46.6901863
Sao Paulo;Sao Paulo;Jurubatuba;Engenheiro Eusebio Stevaux   ;4696000;57;-23.6755275;-46.6966923
Sao Paulo;Sao Paulo;Jurubatuba;Camafeu     ;4696020;45;-23.6771289;-46.7017245
Sao Paulo;Sao Paulo;Vila Gertrudes;Henrique Fischer    ;4705090;45;-23.6206303;-46.6970517
Sao Paulo;Sao Paulo;Santo Amaro;Cancioneiro Popular    ;4710000;146;-23.6288368;-46.6938721
Sao Paulo;Sao Paulo;Varzea de Baixo;Acari     ;4730080;188;-23.6409367;-46.7225391
Sao Paulo;Sao Paulo;Santo Amaro;Irma Haydee Ribeiro   ;4736010;162;-23.5505199;-46.6333094
Sao Paulo;Sao Paulo;Jardim Guarapiranga;Purini     ;4770200;299;-23.5505199;-46.6333094
Sao Paulo;Sao Paulo;Vila Almeida;Avenida das Nacoes Unidas  ;4795913;160;-23.671678;-46.7030737
Sao Paulo;Sao Paulo;Parque America;Eduardo Ramos    ;4822270;111;-23.7352818;-46.6937463
Sao Paulo;Sao Paulo;Parque Santa Cecilia;Pai Gomes Charinho   ;4832160;209;-23.7359433;-46.7161967
Sao Paulo;Sao Paulo;Conjunto Habitacional Brigadeiro Faria Lima;Diogo das Neves Pires  ;4840350;189;-23.7571222;-46.6828336
Sao Paulo;Sao Paulo;Jardim Sao Bernardo;Ana Reimberg Hemmel   ;4844390;300;-23.7537891;-46.700314
Sao Paulo;Sao Paulo;Jardim Sao Bernardo;Sinfonia Paris    ;4844565;222;-23.5505199;-46.6333094
Sao Paulo;Sao Paulo;Jardim Reimberg;Jose Leandro de Campos  ;4845190;244;-23.7517097;-46.6958708
Sao Paulo;Sao Paulo;Jardim Progresso;Jaime Biscarri    ;4848130;117;-23.7343927;-46.6752325
Sao Paulo;Sao Paulo;Parque Residencial dos Lagos;Cisne Azul    ;4851430;101;-23.7484887;-46.6617894
Sao Paulo;Sao Paulo;Jardim Novo Jau;Primavera     ;4852503;277;-23.5801252;-46.6692639
Sao Paulo;Sao Paulo;Jardim Tanay;Antonio Salim Hissa Filho  ;4856020;41;-23.7640879;-46.6946734
Sao Paulo;Sao Paulo;Jardim Sao Judas Tadeu;Sapitica     ;4858230;147;-23.7767288;-46.7072344
Sao Paulo;Sao Paulo;Jardim Ipora;Forte Augusto    ;4865090;50;-23.7825181;-46.7109561
Sao Paulo;Sao Paulo;Jardim Almeida;Duas Irmas    ;4866175;61;-23.8030548;-46.7263988
Sao Paulo;Sao Paulo;Vila Isabel (Parelheiros);Doutor Antonio Faria de Miranda ;4895041;20;-23.0512396;-45.5632723
Sao Paulo;Sao Paulo;Jardim Santa Margarida;Jose de Oliveira   ;4930170;260;-23.4988731;-46.6495166
Sao Paulo;Sao Paulo;Vila do Sol;Magna Grecia    ;4962130;55;-23.7353341;-46.7822355
Sao Paulo;Sao Paulo;Vila Romana;Rua Cerro Cora   ;5061906;258;-23.5411153;-46.6991491
Sao Paulo;Sao Paulo;Lapa de Baixo;Rua William Speers   ;5065902;242;-23.5187578;-46.7005362
Sao Paulo;Sao Paulo;Vila Leopoldina;Jacinto Kerry Valente   ;5089050;147;-23.5208418;-46.7276241
Sao Paulo;Sao Paulo;City America;Dinah Silveira de Queiroz  ;5119090;170;-23.4932427;-46.7362835
Sao Paulo;Sao Paulo;Parque Sao Domingos;Brigadeiro Henrique Fontenelle   ;5125001;228;-23.500526;-46.7391007
Sao Paulo;Sao Paulo;Jardim Santo Elias;Durval Fernandes Chaves   ;5136230;24;-23.5015395;-46.7495838
Sao Paulo;Sao Paulo;Jardim Iris;Avenida Raimundo Pereira de Magalhaes ;5145901;255;-23.4037639;-46.7329999
Sao Paulo;Sao Paulo;Jardim Maristela;Giovanni Narcisi    ;5159360;187;-23.4893273;-46.7541784
Sao Paulo;Sao Paulo;Jaragua;Dois     ;5180020;262;-23.4274883;-46.7984879
Sao Paulo;Sao Paulo;Jaragua;General Horta    ;5181490;255;-23.4546527;-46.7439425
Sao Paulo;Sao Paulo;Jardim Santa Lucrecia;Gaetano Gioja    ;5183180;116;-23.4521372;-46.751689
Sao Paulo;Sao Paulo;Vila Chica Luisa;Chica Luisa    ;5183270;286;-23.4488615;-46.755465
Sao Paulo;Sao Paulo;Vila Chica Luisa;Carlos Ebolu    ;5183290;78;-23.4531448;-46.7505559
Sao Paulo;Sao Paulo;Vila Chica Luisa;Antonio Cardoso Nogueira   ;5184000;272;-23.4571889;-46.7559449
Sao Paulo;Sao Paulo;Jardim Adelfiore;Carcino     ;5223060;87;-23.4100476;-46.7415851
Sao Paulo;Sao Paulo;Conjunto Residencial Jardim Canaa;Lajes Pintadas    ;5268190;157;-23.4346561;-46.7914994
Sao Paulo;Sao Paulo;Vila dos Palmares;Elis Regina    ;5273010;23;-23.4367835;-46.8041084
Sao Paulo;Sao Paulo;Vila Leopoldina;Doutor Seidel    ;5315000;83;-23.5316474;-46.734373
Sao Paulo;Sao Paulo;Parque Continental;Jose Ferreira Keffer   ;5327020;251;-23.5447834;-46.7585475
Sao Paulo;Sao Paulo;Jaguare;Carlos Alberto Soares Freitas  ;5328105;156;-23.5496729;-46.7552154
Sao Paulo;Sao Paulo;Vila Antonio;Renato de Castro   ;5376180;48;-23.5811636;-46.7655516
Sao Paulo;Sao Paulo;Jardim Rio Pequeno;Manoel Dias Amaro   ;5388060;140;-23.5686809;-46.7651917
Sao Paulo;Sao Paulo;Vila Dalva;Sebastiano Mainardi    ;5388150;95;-23.5505199;-46.6333094
Sao Paulo;Sao Paulo;Pinheiros;Auriflama     ;5422080;216;-23.566441;-46.6834503
Sao Paulo;Sao Paulo;Sumarezinho;Original     ;5435050;234;-23.5531373;-46.6881501
Sao Paulo;Sao Paulo;Vila Beatriz;Jorge Baptista    ;5447190;62;-23.5503004;-46.7017427
Sao Paulo;Sao Paulo;Vila Madalena;Pedro de Sousa Campos Filho ;5451010;186;-23.5413164;-46.702877
Sao Paulo;Sao Paulo;Alto de Pinheiros;Barajuba     ;5463040;138;-23.556793;-46.7092688
Sao Paulo;Sao Paulo;Caxingui;Ladislau Roman    ;5515030;230;-23.5806988;-46.7143037
Sao Paulo;Sao Paulo;Vila Sonia;Professor Francisco Morato   ;5520300;199;-23.5986432;-46.7411573
Sao Paulo;Sao Paulo;Jardim Dracena;Santa Cruz    ;5528350;253;-23.598967;-46.624603
Sao Paulo;Sao Paulo;Jardim Dracena;Santa Brigida    ;5528380;295;-23.563119;-46.5488799
Sao Paulo;Sao Paulo;Jardim Maria Augusta;Antonio Cardoso Pereira   ;5546140;106;-23.5858672;-46.7716687
Sao Paulo;Sao Paulo;Conjunto Promorar Raposo Tavares;Arroio Primavera    ;5574280;50;-23.5861558;-46.8012817
Sao Paulo;Sao Paulo;Conjunto Promorar Raposo Tavares;Cachoeira das Flores   ;5574410;96;-23.5854268;-46.8014667
Sao Paulo;Sao Paulo;Jardim Boa Vista (Zona Oeste);Francisco Luz    ;5583120;220;-23.58345;-46.788659
Sao Paulo;Sao Paulo;Vila Indiana;Iquiririm     ;5586000;101;-23.5733184;-46.7273263
Sao Paulo;Sao Paulo;Jardim Esmeralda;Engenheiro Heitor Antonio Eiras Garcia ;5588000;129;-23.5764504;-46.7422683
Sao Paulo;Sao Paulo;Jardim Bonfiglioli;Celio Manoel Vieira   ;5593020;89;-23.5790527;-46.7405291
Sao Paulo;Sao Paulo;Jardim Vitoria Regia;Francisco Jose Rodrigues Neto  ;5657225;177;-23.6193071;-46.7200973
Sao Paulo;Sao Paulo;Jardim Taboao;Jose Novais    ;5711160;101;-23.6076353;-46.7489891
Sao Paulo;Sao Paulo;Vila Andrade;Ivora     ;5716130;159;-23.6302573;-46.7352103
Sao Paulo;Sao Paulo;Super Quadra Morumbi;Benedito Faber    ;5750070;118;-23.6171822;-46.7494344
Sao Paulo;Sao Paulo;Parque Ipe;Sebastiao Martins Pereira   ;5762260;72;-23.6414016;-46.7657228
Sao Paulo;Sao Paulo;Jardim Piracuama;Francisco Gonzaga    ;5763380;42;-23.6434358;-46.7615487
Sao Paulo;Sao Paulo;Jardim Sao Luis;Guimaraes Tavares    ;5805030;234;-23.6509671;-46.7312393
Sao Paulo;Sao Paulo;Jardim Novo Santo Amaro;Augusto Fabregas    ;5820110;47;-23.6680758;-46.7417111
Sao Paulo;Sao Paulo;Parque Santo Antonio;Manuel Filx Fernandes   ;5821110;149;-23.6690736;-46.75128
Sao Paulo;Sao Paulo;Chacara Santana;Adilson Brito    ;5831010;279;-23.6739358;-46.748612
Sao Paulo;Sao Paulo;Jardim Thomaz;Alberto Vicente Cardoso   ;5833030;211;-23.6709958;-46.7567125
Sao Paulo;Sao Paulo;Parque Ligia;Roberto Botelho    ;5857550;176;-23.6565262;-46.7833813
Sao Paulo;Sao Paulo;Jardim Clarice;Tomas Campanella    ;5866160;280;-23.6787828;-46.7683456
Sao Paulo;Sao Paulo;Jardim do Colegio;Antonio Alzelino Guerra   ;5883260;248;-23.6740938;-46.7802052
Sao Paulo;Osasco;Centro;Paulo Licio Rizzo   ;6018010;94;-23.5385245;-46.7780927
Sao Paulo;Osasco;Vila Yara;Benedito Americo de Oliveira  ;6028080;173;-23.5474784;-46.7650891
